Year,Survey question,Response,Grouping variable,Category,Value,Value Unit,Value Label,Null Reason,Metadata 1
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Yes,Region,Tasman,94.1,percentage,% of young people,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Yes,Region,Canterbury,92.9,percentage,% of young people,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Yes,Region,Otago,92.6,percentage,% of young people,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Yes,Region,Southland,92.000000000000004,percentage,% of young people,
2023,Which of the following have you done in the last 7 days?,Base (All respondents aged 5 to 17),Age group,8-11,1214,number,Number of respondents,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Yes,Region,North Island,91.4,percentage,% of young people,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Yes,Region,South Island,93.000000000000005,percentage,% of young people,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",No,Total,Total,8.2,percentage,% of young people,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",No,Gender,Male,7.7,percentage,% of young people,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",No,Gender,Female,8.6,percentage,% of young people,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",No,Age group,5-7,4.6,percentage,% of young people,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",No,Age group,8-11,3.7,percentage,% of young people,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",No,Age group,12-14,7.6,percentage,% of young people,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",No,Age group,15-17,18.6,percentage,% of young people,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",No,Age group,5-11,4.1,percentage,% of young people,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",No,Age group,12-17,12.3,percentage,% of young people,
