Year,Training type,Occupation,Value,Value Unit,Value Label,Null Reason
2012,Apprentices,Fire Detection & Security System Manufacture & Installation Professionals,280,number,Number of people,
2013,Apprentices,Fire Detection & Security System Manufacture & Installation Professionals,250,number,Number of people,
2014,Apprentices,Fire Detection & Security System Manufacture & Installation Professionals,285,number,Number of people,
2015,Apprentices,Fire Detection & Security System Manufacture & Installation Professionals,260,number,Number of people,
2016,Apprentices,Fire Detection & Security System Manufacture & Installation Professionals,250,number,Number of people,
2017,Apprentices,Fire Detection & Security System Manufacture & Installation Professionals,200,number,Number of people,
2018,Apprentices,Fire Detection & Security System Manufacture & Installation Professionals,255,number,Number of people,
2009,Apprentices,"Fire, Search & Rescue, Emergency Response or Civil Defence Workers",180,number,Number of people,
2010,Apprentices,"Fire, Search & Rescue, Emergency Response or Civil Defence Workers",175,number,Number of people,
2011,Apprentices,"Fire, Search & Rescue, Emergency Response or Civil Defence Workers",175,number,Number of people,
2012,Apprentices,"Fire, Search & Rescue, Emergency Response or Civil Defence Workers",160,number,Number of people,
2013,Apprentices,"Fire, Search & Rescue, Emergency Response or Civil Defence Workers",140,number,Number of people,
2014,Apprentices,"Fire, Search & Rescue, Emergency Response or Civil Defence Workers",55,number,Number of people,
2015,Apprentices,"Fire, Search & Rescue, Emergency Response or Civil Defence Workers",30,number,Number of people,
2016,Apprentices,"Fire, Search & Rescue, Emergency Response or Civil Defence Workers",10,number,Number of people,
2017,Apprentices,"Fire, Search & Rescue, Emergency Response or Civil Defence Workers",5,number,Number of people,
2018,Apprentices,"Fire, Search & Rescue, Emergency Response or Civil Defence Workers",5,number,Number of people,
2009,Apprentices,"Fishing, Seafood Vessel, Aquaculture, Seafood Processing & Retailing Professionals",360,number,Number of people,
2010,Apprentices,"Fishing, Seafood Vessel, Aquaculture, Seafood Processing & Retailing Professionals",370,number,Number of people,
2011,Apprentices,"Fishing, Seafood Vessel, Aquaculture, Seafood Processing & Retailing Professionals",40,number,Number of people,
2012,Apprentices,"Fishing, Seafood Vessel, Aquaculture, Seafood Processing & Retailing Professionals",20,number,Number of people,
2013,Apprentices,"Fishing, Seafood Vessel, Aquaculture, Seafood Processing & Retailing Professionals",35,number,Number of people,
2014,Apprentices,"Fishing, Seafood Vessel, Aquaculture, Seafood Processing & Retailing Professionals",5,number,Number of people,
2015,Apprentices,"Fishing, Seafood Vessel, Aquaculture, Seafood Processing & Retailing Professionals",5,number,Number of people,
2016,Apprentices,"Fishing, Seafood Vessel, Aquaculture, Seafood Processing & Retailing Professionals",10,number,Number of people,
2017,Apprentices,"Fishing, Seafood Vessel, Aquaculture, Seafood Processing & Retailing Professionals",10,number,Number of people,
2018,Apprentices,"Fishing, Seafood Vessel, Aquaculture, Seafood Processing & Retailing Professionals",10,number,Number of people,
2009,Apprentices,Flooring Installers,505,number,Number of people,
2010,Apprentices,Flooring Installers,495,number,Number of people,
2011,Apprentices,Flooring Installers,435,number,Number of people,
2012,Apprentices,Flooring Installers,505,number,Number of people,
2013,Apprentices,Flooring Installers,615,number,Number of people,
2014,Apprentices,Flooring Installers,595,number,Number of people,
2015,Apprentices,Flooring Installers,545,number,Number of people,
2016,Apprentices,Flooring Installers,500,number,Number of people,
2017,Apprentices,Flooring Installers,485,number,Number of people,
2018,Apprentices,Flooring Installers,505,number,Number of people,
2009,Apprentices,Food & Related Product Manufacturing Professionals,500,number,Number of people,
2010,Apprentices,Food & Related Product Manufacturing Professionals,470,number,Number of people,
2011,Apprentices,Food & Related Product Manufacturing Professionals,380,number,Number of people,
